id,description,email,transaction,type,coreprocess,owner,affectedUser,solution,status,camunda_instance,sentiment_score,urgency,success
1,test,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,placeholder,NULL,NULL,NULL
2,"insert from class",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,placeholder,NULL,NULL,NULL
3,"insert from java class",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,placeholder,NULL,NULL,NULL
4,"It's ID 4",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,placeholder,NULL,NULL,NULL
5,"From Camunda",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,placeholder,NULL,NULL,NULL
8,"test from zapier",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,placeholder,NULL,NULL,NULL
9,blablub,manuel@frieder.ch,fagll03,failure,true,NULL,2,NULL,NULL,placeholder,NULL,NULL,NULL
10,"the report shows a different result as usual please check",manuel.frieder@gmail.com,FBL5N,failure,true,manuel.frieder@students.fhnw.ch,1,NULL,assigned,placeholder,NULL,NULL,NULL
11,blabla,manuel@frieder.com,FBL5N,failure,true,NULL,1,NULL,NULL,placeholder,NULL,NULL,NULL
12,"when I run the report it doesn't work as expected the results are wrong please check",manuel.frieder@gmail.com,FAGLL03,request,true,manuel.frieder@students.fhnw.ch,1,NULL,assigned,"this is a simple test",NULL,NULL,NULL
13,"I have to talk fast now because I have to make it back",m.frieder@bluewin.ch,FB03,failure,false,manuel.frieder@students.fhnw.ch,1,NULL,assigned,def178f9-55c7-11e8-99d1-00ff0680cc42,NULL,NULL,NULL
14,fast,m.frieder@bluewin.ch,FAGLL03,request,true,manuel.frieder@students.fhnw.ch,1,NULL,assigned,abcTest,NULL,NULL,NULL
15,"Another test to check",manuel.frieder@gmail.com,FBL5N,failure,false,manuel.frieder@students.fhnw.ch,2,NULL,assigned,"this is a simple test",NULL,NULL,NULL
16,"the system shows different results at the usual",m.frieder@bluewin.ch,FBL1N,request,false,manuel.frieder@students.fhnw.ch,1,NULL,assigned,f9e604f9-5871-11e8-a175-00ff0680cc42,NULL,NULL,NULL
17,"the system shows different results at the usual",m.frieder@bluewin.ch,FBL1N,request,false,manuel.frieder@students.fhnw.ch,1,NULL,assigned,5dec8e6d-5872-11e8-a175-00ff0680cc42,0.7462853193280000,NULL,NULL
18,"the transaction shows in there when I went to start it",m.frieder@bluewin.ch,FBL1N,request,true,manuel.frieder@students.fhnw.ch,3,NULL,assigned,9e435251-5875-11e8-9552-00ff0680cc42,0.5000000000000000,NULL,NULL
19,"play something I can lend money to the customer",manuel.frieder@students.fhnw.ch,FAGLL03,request,true,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
20,"sap is not working well",m.frieder@bluewin.ch,FBL1N,request,No,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"Test description",m.frieder@bluewin.ch,FAGLL03,request,TiVAC,Manuel,1,NULL,assigned,337cbd3d-5a70-11e8-ab3f-00ff0680cc42,0.1776888966560000,NULL,NULL
22,"Test description",m.frieder@bluewin.ch,FAGLL03,request,no,Manuel,1,NULL,assigned,affa03b0-5a93-11e8-a950-00ff0680cc42,0.1776888966560000,NULL,NULL
23,"Test description",m.frieder@bluewin.ch,FAGLL03,request,no,Manuel,1,NULL,assigned,068d2ee9-5a96-11e8-823f-00ff0680cc42,0.1776888966560000,NULL,NULL
24,"Test description",m.frieder@bluewin.ch,FAGLL03,request,no,Manuel,1,NULL,assigned,9ab1cdab-5a99-11e8-823f-00ff0680cc42,0.1776888966560000,NULL,NULL
25,"Test description",m.frieder@bluewin.ch,FAGLL03,request,no,Manuel,1,NULL,assigned,22aacbb3-5abc-11e8-aaa9-00ff0680cc42,0.1776888966560000,NULL,NULL
26,"Test description",m.frieder@bluewin.ch,FAGLL03,request,no,Manuel,1,NULL,assigned,c3dc0dd8-5abc-11e8-a842-00ff0680cc42,0.1776888966560000,NULL,NULL
27,"Test description",m.frieder@bluewin.ch,FAGLL03,request,no,Manuel,1,NULL,assigned,3b85e79a-5abd-11e8-a842-00ff0680cc42,0.1776888966560000,NULL,NULL
28,"Test description",m.frieder@bluewin.ch,FAGLL03,request,no,Manuel,1,NULL,assigned,83232f18-5abd-11e8-a842-00ff0680cc42,0.1776888966560000,NULL,NULL
29,"Test description",m.frieder@bluewin.ch,FAGLL03,request,no,Manuel,1,NULL,assigned,6d519819-5abe-11e8-9f1a-00ff0680cc42,0.1776888966560000,NULL,NULL
